"","Verse.ID","Book.Name","Book.Number","Chapter","Verse","Text"
"1",1,"Genesis",1,1,1,"In the beginning God created the heauen and the earth."
"2",2,"Genesis",1,1,2,"And the earth was without forme and voide, and darkenesse was vpon the deepe, and the Spirit of God moued vpon ye waters."
"3",3,"Genesis",1,1,3,"Then God saide, Let there be light: And there was light."
"4",4,"Genesis",1,1,4,"And God sawe the light that it was good, and God separated the light from the darkenes."
"5",5,"Genesis",1,1,5,"And God called the light, Day, and the darkenes, he called Night. So the euening and the morning were the first day."
"6",6,"Genesis",1,1,6,"Againe God saide, Let there be a firmament in the middes of the waters: and let it separate the waters from the waters."
"7",7,"Genesis",1,1,7,"Then God made the firmament, and separated the waters, which were vnder the firmament, from the waters which were aboue the firmament; it was so."
"8",8,"Genesis",1,1,8,"And God called the firmament Heauen. So the Euening and the morning were the seconde day."
"9",9,"Genesis",1,1,9,"God saide againe, Let the waters vnder the heauen be gathered into one place, and let the dry land appeare; it was so."
"10",10,"Genesis",1,1,10,"And God called the dry land, Earth, and he called the gathering together of the waters, Seas: and God sawe that it was good."
"11",11,"Genesis",1,1,11,"Then God said, Let the earth bud foorth the bud of the herbe, that seedeth seede, the fruitfull tree, which beareth fruite according to his kinde, which hath his seede in it selfe vpon the earth; it was so."
"12",12,"Genesis",1,1,12,"And the earth brought foorth the bud of the herbe, that seedeth seede according to his kind, also the tree that beareth fruite, which hath his seede in it selfe according to his kinde: and God sawe that it was good."
"13",13,"Genesis",1,1,13,"So the euening and the morning were the third day."
"14",14,"Genesis",1,1,14,"And God said, Let there be lightes in the firmament of the heauen, to separate the day from the night, and let them be for signes, and for seasons, and for dayes and yeeres."
"15",15,"Genesis",1,1,15,"And let them be for lightes in the firmament of the heauen to giue light vpon the earth; it was so."
"16",16,"Genesis",1,1,16,"God then made two great lightes: the greater light to rule the day, and the lesse light to rule the night: he made also the starres."
"17",17,"Genesis",1,1,17,"And God set them in the firmament of the heauen, to shine vpon the earth,"
"18",18,"Genesis",1,1,18,"And to rule in the day, and in the night, and to separate the light from the darkenes: and God sawe that it was good."
"19",19,"Genesis",1,1,19,"So the euening and the morning were the fourth day."
"20",20,"Genesis",1,1,20,"Afterward God said, Let the waters bring foorth in abundance euery creeping thing that hath life: and let the foule flie vpon the earth in the open firmament of the heauen."
