ID,Sentence
1,"Aduertisments partly for due order in the publique administration of common prayers and vsinge the holy sacramentes, and partly for the apparrell of all persons ecclesiasticall by vertue of the Queenes Maiesties letters commaunding the same, the xxv."
2,"day of January, in the seuenth yeare of the raigne of Oure Soueraigne Lady Elyzabeth, by the grace of God, of Englande, Fraunce and Irelande Queene, defender of the fayth, &c.Approx."
3,"18 KB of XML-encoded text transcribed from 9 1-bit group-IV TIFF page images.Ann Arbor, MI ; Oxford (UK) :Text Creation Partnership,2007-01 (EEBO-TCP Phase 1).A00033 STC 10029.5 ESTC S846 22839131 ocm 22839131 25796 To the extent possible under law, the Text Creation Partnership has waived all copyright and related or neighboring rights to this keyboarded and encoded edition of the work described above, according to the terms of the CC0 1.0 Public Domain Dedication (http://creativecommons.org/publicdomain/zero/1.0/)."
4,"This waiver does not extend to any page images or other supplementary files associated with this work, which may be protected by copyright or other license restrictions."
5,Please go to http://www.textcreationpartnership.org/ for more information.Early English books online.
6,"(EEBO-TCP ; phase 1, no."
7,"A00033)Transcribed from: (Early English Books Online ; image set 25796)Images scanned from microfilm: (Early English books, 1475-1640 ; 1776:23)Aduertisments partly for due order in the publique administration of common prayers and vsinge the holy sacramentes, and partly for the apparrell of all persons ecclesiasticall by vertue of the Queenes Maiesties letters commaunding the same, the xxv."
8,"day of January, in the seuenth yeare of the raigne of Oure Soueraigne Lady Elyzabeth, by the grace of God, of Englande, Fraunce and Irelande Queene, defender of the fayth, &c.England and Wales."
9,Sovereign (1558-1603 : Elizabeth I)Church of England.
10,Province of Canterbury.
11,"Archbishop (1559-1575 : Parker)[15] p. Imprinted at London : By Reginalde Wolfe, [1569?]"
12,"""Agreed vpon and subscribed by Matthæus Cantuariensis ... [et al.]""--P."
13,[15].Imprint taken from colophon; date of imprint suggested by STC (2nd ed.
14,).Signatures: A-B⁴.Reproduction of original in the Exeter College (University of Oxford).
15,"Library.Header created with script mrcb2eeboutf.xsl on 2014-03-05.Manually keyed and coded text linked to page images in accordance with level 4 of the TEI in Libraries guidelines.Issued variously as SGML (TCP schema; ASCII text with mnemonic sdata character entities); displayable XML (TCP schema; characters represented either as UTF-8 Unicode or text strings within braces); or lossless XML (TEI P5, characters represented either as UTF-8 Unicode or TEI g elements).Keying and markup guidelines available at TCP web site (http://www.textcreationpartnership.org/docs/)engChurch of England -- Customs and practices.2005-10TCPAssigned for keying and markup2006-01SPi GlobalKeyed and coded from ProQuest page images2006-05Emma (Leeson) HuberSampled and proofread2006-05Emma (Leeson) HuberText and markup reviewed and edited2006-09pfsBatch review (QC) and XML conversion 10029.5 22839131 25796 Aduertisments partly for due order in the publique administration of common prayers and vsinge the holy Sacramentes, and partly for the apparrell of all persons ec∣clesiasticall, by vertue of the Queenes maiesties letters commaunding the same, the xxv."
16,"day of Ianuary, in the seuenth yeare of the raigne of oure Soueraigne Lady ELYZABETH, by the grace of God, of Englande, Fraunce and Irelande Queene, defender of the fayth."
17,Cum priuilegio ad imprimen∣dum solum.
18,"THe Queenes maiestye of her godly zeale calling to remembraunce howe necessary it is to the auauncement of gods glory, and to the establishmente of Christes pure Religion, for all her louing subieectes, especially the state Ecclesiasticall, to bee knitte together in one perfecte vnitye of do∣ctrine, and to bee conioyned in one vniformity of Rites and Maners in the ministration of Gods holy worde, in open prayer and ministratiō of Sa∣craments, as also to be of one decent behauioure in their outwarde apparrell, to be knowne partely by their distinct habits to bee of that vocation (who shoulde be reuerenced the rather in their offices as Ministers of the holye thinges whereto they bee called) hathe by her letters directed vnto the Arche∣byshop of Canterbury and Metropolitane, requi∣red, enioyned and straightly charged, that with as∣sistance and conference had with other bysshops, namely suche as be in commission for causes ecclesi∣asticall, some orders might bee taken, whereby all diuersities and varieties amonge them of the clear∣gy and the people (as breedinge nothinge but con∣tention, offence and breache of commō charity, and be agaynste the lawes, good vsuage and ordinaun∣ces of the Realme) might be reformed and repressed, and brought to one maner of vniformity through∣out the whole Realme, that the people may thereby quietly honour and serue almighty God in truthe, concord, vnity, peace and quietnes, as by her maie∣sties sayde letters more at large dothe appeare."
19,"Wheruppon by diligent conference and communi∣cation in the same, and at laste by assent and con∣sent of the persons before sayd, these orders & rules ensuing, haue been thoughte meete and conuenient to bee vsed and folowed: not yet prescribinge these rules as lawes equiualent with the eternall worde of God, and as of necessity to bynde the consciences of her subiectes in the nature of them considered in them selues: Or as they shoulde adde any efficacye, or more holynes to the vertue of publique prayer and to the Sacraments, but as temporall orders meere Ecclesiasticall, without any vayne supersti∣tion, and as rules in some parte of discipline concer∣nig decency, distinction, and order for the time."
20,Articles for doctrine & preachinge.
21,"FIrste, that all they whiche shalbe ad∣mitted to preache, shalbee diligentlye examined for theire conformity in v∣nity of doctrine, established by pub∣lique authoritye: and admonished to vse sobriety and discretion in teachinge the people, namely in matters of controuersy: and to consider the grauity of their office, and to foresee with dili∣gence the matters which they will speake, to vtter them to the edification of the Audience."
