File Name,Projection #1,Projection #2,Projection #3,Manuscript Title,Author,Publication Year
A14614,0.0,0.0,0.0,"['The copies of certaine letters vvhich haue passed betweene Spaine and England in matter of religion Concerning the generall motiues to the Romane obedience. Betweene Master Iames Wadesworth, a late pensioner of the holy Inquisition in Siuill, and W. Bedell a minister of the Gospell of Iesus Christ in Suffolke.']","['Wadsworth, James', 'Bedell, William', 'Hall, Joseph']","[1624, 1619, 1619, 1619, 1620, 1620, 1615, 1620, 1620]"
A10664,0.3344944,-1.6491035,-1.9870661,['Mythomystes wherein a short suruay is taken of the nature and value of true poesy and depth of the ancients above our moderne poets. To which is annexed the tale of Narcissus briefly mythologized'],"['Reynolds, Henry', 'Ovid, 43 B.C.-17 or 18 A.D. Metamorphoses.']",[1632]
A13345,0.0,0.0,0.0,"['The hogge hath lost his pearle A comedy. Diuers times publikely acted, by certaine London prentices. By Robert Tailor.']","['Tailor, Robert']",[1614]
A20770,0.19519025,-1.3705798,-2.0540388,"['A treatise of the true nature and definition of justifying faith together with a defence of the same, against the answere of N. Baxter. By Iohn Downe B. in Divinity, and sometime fellow of Emanuel C. in Cambridge.', 'Selections']","['Downe, John', 'Baxter, Nathaniel', 'Bayly, Mr.', 'Muret, Marc-Antoine']",[1635]
A19683,0.0,0.0,0.0,"['The differences of the ages of mans life together with the originall causes, progresse, and end thereof. Written by the learned Henrie Cuffe, sometime fellow of Merton College in Oxford. Ann. Dom. 1600.']","['Cuff, Henry', 'R. M.']",[1607]
A11368,0.0,0.0,0.0,"['An admirable method to loue, serue and honour the B. Virgin Mary With diuers practicable exercises thereof. Al inriched with choice examples. Written in Italian by the R. F. Alexis de Salo, Capuchin. And Englished by R.F.']","['Salo, Alessio Segala de.', 'R. F.']",[1639]
A12649,0.4021995,-2.1170077,-2.1043928,['A short rule of good life To direct the deuout Christian in a regular and orderly course.'],"['Southwell, Robert']","[1622, 1598]"
A68683,0.0,0.0,0.0,['The honest lavvyer Acted by the Queenes Maiesties Seruants. Written by S.S.'],"['S. S.', 'Sheppard, S. (Samuel)']",[1616]
A18416,0.0,0.0,0.0,"['The memorable maske of the two honorable houses or Innes of Court; the Middle Temple, and Lyncolns Inne As it was performd before the King, at White-Hall on Shroue Munday at night; being the 15. of February. 1613. At the princely celebration of the most royall nuptialls of the Palsgraue, and his thrice gratious Princesse Elizabeth. &c. With a description of their whole show; in the manner of their march on horse-backe to the Court from the Maister of the Rolls his house: with all their right noble consorts, and most showfull attendants. Inuented, and fashioned, with the ground, and speciall structure of the whole worke: by our kingdomes most artfull and ingenious architect Innigo Iones. Supplied, aplied, digested, and written, by Geo: Chapman.']","['Chapman, George', 'Jones, Inigo']",[1613]
B11307,-0.049835082,-1.7889031,-1.2849256,"['The essayes or counsels, ciuill and morall, of Francis Lo. Verulam, Viscount St. Alban', 'Essays', 'Early English books online text creation partnership.']","['Bacon, Francis']",[1625]
