File Name,Projection #1,Projection #2,Projection #3,Manuscript Title,Author,Publication Year
A14614,1.3221514,-0.3663197,-1.6214559,"['The copies of certaine letters vvhich haue passed betweene Spaine and England in matter of religion Concerning the generall motiues to the Romane obedience. Betweene Master Iames Wadesworth, a late pensioner of the holy Inquisition in Siuill, and W. Bedell a minister of the Gospell of Iesus Christ in Suffolke.']","['Wadsworth, James', 'Bedell, William', 'Hall, Joseph']","[1624, 1619, 1619, 1619, 1620, 1620, 1615, 1620, 1620]"
A10664,0.0,0.0,0.0,['Mythomystes wherein a short suruay is taken of the nature and value of true poesy and depth of the ancients above our moderne poets. To which is annexed the tale of Narcissus briefly mythologized'],"['Reynolds, Henry', 'Ovid, 43 B.C.-17 or 18 A.D. Metamorphoses.']",[1632]
A13345,1.1993072,-0.596005,-1.6066357,"['The hogge hath lost his pearle A comedy. Diuers times publikely acted, by certaine London prentices. By Robert Tailor.']","['Tailor, Robert']",[1614]
A20770,0.0,0.0,0.0,"['A treatise of the true nature and definition of justifying faith together with a defence of the same, against the answere of N. Baxter. By Iohn Downe B. in Divinity, and sometime fellow of Emanuel C. in Cambridge.', 'Selections']","['Downe, John', 'Baxter, Nathaniel', 'Bayly, Mr.', 'Muret, Marc-Antoine']",[1635]
A19683,0.0,0.0,0.0,"['The differences of the ages of mans life together with the originall causes, progresse, and end thereof. Written by the learned Henrie Cuffe, sometime fellow of Merton College in Oxford. Ann. Dom. 1600.']","['Cuff, Henry', 'R. M.']",[1607]
A05282,0.0,0.0,0.0,"['Queene Elizabeth, paraleld in her princely vertues, with Dauid, Iosua, and Hezekia 1 With Dauid her afflictions, to build the Church 2 With Iosua in her puissance, to protect the Church· 3 With Hezechia in her pietie, to reforme the Chureh [sic]. In three sermons, as they were preached three seuerall Queenes dayes. By William Leigh, Bachelor of Diuinitie.']","['Leigh, William']",[1612]
A00503,0.0,0.0,0.0,"['Duell-ease A worde with. valiant spiritts shewing the abuse of duells, that valour, refuseth challenges and priuate combates. sett foorth by G.F. a defendour of Christian valoure.']","['G. F., defendour of Christian valoure.']",[1635]
A11368,0.0,0.0,0.0,"['An admirable method to loue, serue and honour the B. Virgin Mary With diuers practicable exercises thereof. Al inriched with choice examples. Written in Italian by the R. F. Alexis de Salo, Capuchin. And Englished by R.F.']","['Salo, Alessio Segala de.', 'R. F.']",[1639]
A12649,0.0,0.0,0.0,['A short rule of good life To direct the deuout Christian in a regular and orderly course.'],"['Southwell, Robert']","[1622, 1598]"
A05335,0.0,0.0,0.0,"['Of the interchangeable course, or variety of things in the whole world and the concurrence of armes and learning, thorough the first and famousest nations: from the beginning of ciuility, and memory of man, to this present. Moreouer, whether it be true or no, that there can be nothing sayd, which hath not bin said heretofore: and that we ought by our owne inuentions to augment the doctrine of the auncients; not contenting our selues with translations, expositions, corrections, and abridgments of their writings. Written in French by Loys le Roy called Regius: and translated into English by R.A.', ""De la vicissitude ou variete des choses en l'univers. English""]","['Leroy, Louis', 'Ashley, Robert']","[1594, 1594]"
A68683,1.1539836,-1.0081875,-1.9980259,['The honest lavvyer Acted by the Queenes Maiesties Seruants. Written by S.S.'],"['S. S.', 'Sheppard, S. (Samuel)']",[1616]
A18416,0.0,0.0,0.0,"['The memorable maske of the two honorable houses or Innes of Court; the Middle Temple, and Lyncolns Inne As it was performd before the King, at White-Hall on Shroue Munday at night; being the 15. of February. 1613. At the princely celebration of the most royall nuptialls of the Palsgraue, and his thrice gratious Princesse Elizabeth. &c. With a description of their whole show; in the manner of their march on horse-backe to the Court from the Maister of the Rolls his house: with all their right noble consorts, and most showfull attendants. Inuented, and fashioned, with the ground, and speciall structure of the whole worke: by our kingdomes most artfull and ingenious architect Innigo Iones. Supplied, aplied, digested, and written, by Geo: Chapman.']","['Chapman, George', 'Jones, Inigo']",[1613]
B11307,1.6827053,-0.7064004,-1.2738613,"['The essayes or counsels, ciuill and morall, of Francis Lo. Verulam, Viscount St. Alban', 'Essays', 'Early English books online text creation partnership.']","['Bacon, Francis']",[1625]
A71305,1.9999037,-1.4759878,-1.2460581,"['Purchas his pilgrimes. part 3 In fiue bookes. The first, contayning the voyages and peregrinations made by ancient kings, patriarkes, apostles, philosophers, and others, to and thorow the remoter parts of the knowne world: enquiries also of languages and religions, especially of the moderne diuersified professions of Christianitie. The second, a description of all the circum-nauigations of the globe. The third, nauigations and voyages of English-men, alongst the coasts of Africa ... The fourth, English voyages beyond the East Indies, to the ilands of Iapan, China, Cauchinchina, the Philippinæ with others ... The fifth, nauigations, voyages, traffiques, discoueries, of the English nation in the easterne parts of the world ... The first part.']","['Purchas, Samuel']","[1625, 1590, 1611, 1617, 1619, 1612, 1583, 1527, 1596, 1596]"
A68132,1.8989861,-0.6572824,-1.1616288,"['The discouery of a new world or A description of the South Indies Hetherto vnknowne by an English Mercury.', 'Mundus alter et idem. English']","['Hall, Joseph', 'Gentili, Alberico', 'Healey, John']",[1613]
A09043,0.0,0.0,0.0,"['Moderatus, the most delectable & famous historie of the blacke knight:[...]']","['Parry, Robert']",[1595]
A13755,0.0,0.0,0.0,"['A treatise of faith, and of some principal fruits thereof Deliuered in two sermons, vpon the third chapter of the epistle of Paul to the Ephesians, verse the 12. With some additions and enlargements, tending to the satistaction of such as are in doubt, whether they haue faith or no, and to the comforting of such as are troubled about the weakenesse of their faith. By G. Throgmorton, minister of the word of God.']","['Throgmorton, George.']",[1624]
A15324,0.0,0.0,0.0,"['The doctrine of the Sabbath handled in foure seuerall bookes of treatises. The first of which intreateth of the day of rest. The second, of the duties of the day. The third, of the persons whom these duties concerne. And the fourth, the reasons vsed to perswade all persons to the practise of these duties vpon that day. Written by G.W. Master of Arts, and minister of the word of God in Portsmouth.']","['Widley, George']",[1604]
A21056,0.0,0.0,0.0,"['A sermon preached at the publicke fast To the Commons house of Parliament. April. 5th. 1628. By Ier. Dyke minister of Gods Word, at Epping in Essex.', 'Early English books online text creation partnership.']","['Dyke, Jeremiah']",[1628]
A11802,0.0,0.0,0.0,['Vox Dei'],"['Scott, Thomas']",[1623]
B00960,0.0,0.0,0.0,"['A breefe description of the battailes, victories and triumphes, atchiued by the D. of Parma, and the Spanish armye. Sent by the king of Spayne, vnder his conduct to the succour of the rebellious leaguers of France. / Faithfully translated out of French by E.A. according to the French coppie, printed at Paris..', 'Discours sur la venue en France, progrès & retraite du duc de Parme', 'Early English books online text creation partnership.']","['Farnese, Alexander', 'Aggas, Edward.']",[1591]
A13542,0.0,0.0,0.0,"['A man in Christ, or A new creature To which is added a treatise, containing meditations from the creatures. By Thomas Taylor, Dr. in Diuinity.']","['Taylor, Thomas']",[1629]
A05320,0.0,0.0,0.0,"['Characterismi: or, Lentons leasures Expressed in essayes and characters, neuer before written on. By F.L. Gent.']","['Lenton, Francis']",[1631]
A20188,0.0,0.0,0.0,"['An ansvvere to the last tempest and villanie of the League, vpon the slanders which were imprinted by the same, against the French king Intituled: A declaration of the crimes whereinto the Catholikes do fall, in taking the king of Nauarre his part. Translated out of French into English by T.H.']",[],[1593]
A08764,2.3238916,-1.1814312,-1.4237114,"['Orders and constitutions, partly collected out of his Maiesties letters patents; and partly by authority, and in vertue of the said letters patents: ordained vpon mature deliberation, by the gouernour and company of the city of London, for the plantation of the Summer-Islands: for the better gouerning of the actions and affaires of the said company and plantation. 6. Febr. 1621']",['Bermuda Islands.'],"[1622, 1621]"
A01581,0.0,0.0,0.0,"['Nevv shreds of the old snare Containing the apparitions of two new female ghosts. The copies of diuers letters of late intercourse concerning Romish affaires. Speciall indulgences purchased at Rome, granted to diuers English gentle-beleeuing Catholiques for their ready money. A catalogue of English nunnes of the late transportations within these two or three yeares. By Iohn Gee, Master of Arts, late of Exon-Colledge in Oxford.']","['Gee, John']","[1624, 1623, 1623, 1623, 1623, 1623, 1623]"
A68251,0.0,0.0,0.0,"['An excellent new ballad, shewing the petigree of our royall King Iames the first of that name in England. To the tune of, Gallants all come mourne with mee.']",[],[1603]
A22364,1.7141557,-1.1343117,-1.3538288,"['By the King a proclamation for setling the plantation of Virginia.', 'Early English books online text creation partnership.  Navigations series.']","['England and Wales. Sovereign (1625-1649 : Charles I)', 'Charles I, King of England']",[1625]
A05056,0.0,0.0,0.0,"['Mary sitting at Christs feet A sermon preached at the funerall of Mris Mary Swaine, the wife of Mr William Swaine, at Saint Buttolphs without Aldersgate. Declaring her christian life, and comfortable death, for the encouraging of all christian gentlewomen, and others, to walke in the steps of this religious gentlewoman already departed. By Lancelot Langhorne, preacher of the word of God.']","['Langhorne, Lancelot.']",[1611]
A04389,0.0,0.0,0.0,"['The haughty heart humbled: or, The penitents practice: in the regall patterne of King Ezekiah Directory and consolatory to all the mourners in Sion, to sow in teares, and to reape in ioy. By S.I. preacher of Gods Word.']","['Jerome, Stephen']",[1628]
B13659,0.0,0.0,0.0,"['The second part of the Parallele, or conference of the ciuill law, the canon law, and the common law of this realme of England Wherein the agreement and disagreement of these three lawes touching diuers matters not before conferred, is at large debated and discussed. Whereunto is annexed a table ... Handled in seauen dialogues, by William Fulbecke.', 'Parallele or conference of the civill law, the canon law, and the common law of this realme of England. Part 2', 'Early English books online text creation partnership.']","['Fulbeck, William']","[1602, 1602]"
A11223,2.1886168,-0.9806026,-1.7250978,"['Britaines busse. Or A computation aswell of the charge of a busse or herring-fishing ship As also of the gaine and profit thereby. With the States proclamation annexed vnto the same, as concerning herring-fishing. By E.S.']","['E. S. (Edward Sharpe), 17th cent.', 'United Provinces of the Netherlands. Staten Generaal.']",[1615]
A13434,0.951011,-1.7231789,-1.8649937,"[""A common vvhore vvith all these graces grac'd: shee's very honest, beautifull and chaste. Written by Iohn Taylor.""]","['Taylor, John']",[1622]
A08014,2.0368443,-1.1819848,-1.9575938,"['The terrors of the night or, A discourse of apparitions. Tho: Nashe']","['Nash, Thomas']",[1594]
A00448,2.3024836,-0.61048514,-1.629285,"['Verba dierum, or, The dayes report of Gods glory As it hath beene delivered some yeeres since, at foure sermons, or lectures vpon one text, in the famous University of Oxford; and since that time somewhat augmented; and is now commended vnto all times to be augmented and amended. By Edward Evans, priest and minister of the Lord our God.']","['Evans, Edward']",[1615]
