File Name,Projection #1,Projection #2,Projection #3,Manuscript Title,Author,Publication Year
A14614,0.95536363,-0.59534305,0.47261846,"['The copies of certaine letters vvhich haue passed betweene Spaine and England in matter of religion Concerning the generall motiues to the Romane obedience. Betweene Master Iames Wadesworth, a late pensioner of the holy Inquisition in Siuill, and W. Bedell a minister of the Gospell of Iesus Christ in Suffolke.']","['Wadsworth, James', 'Bedell, William', 'Hall, Joseph']","[1624, 1619, 1619, 1619, 1620, 1620, 1615, 1620, 1620]"
A13345,0.40136915,-0.43931654,-0.66003513,"['The hogge hath lost his pearle A comedy. Diuers times publikely acted, by certaine London prentices. By Robert Tailor.']","['Tailor, Robert']",[1614]
A68683,1.0934936,-0.23887722,-0.46990672,['The honest lavvyer Acted by the Queenes Maiesties Seruants. Written by S.S.'],"['S. S.', 'Sheppard, S. (Samuel)']",[1616]
A18416,0.0,0.0,0.0,"['The memorable maske of the two honorable houses or Innes of Court; the Middle Temple, and Lyncolns Inne As it was performd before the King, at White-Hall on Shroue Munday at night; being the 15. of February. 1613. At the princely celebration of the most royall nuptialls of the Palsgraue, and his thrice gratious Princesse Elizabeth. &c. With a description of their whole show; in the manner of their march on horse-backe to the Court from the Maister of the Rolls his house: with all their right noble consorts, and most showfull attendants. Inuented, and fashioned, with the ground, and speciall structure of the whole worke: by our kingdomes most artfull and ingenious architect Innigo Iones. Supplied, aplied, digested, and written, by Geo: Chapman.']","['Chapman, George', 'Jones, Inigo']",[1613]
B11307,0.65183014,-0.41006333,-0.36092767,"['The essayes or counsels, ciuill and morall, of Francis Lo. Verulam, Viscount St. Alban', 'Essays', 'Early English books online text creation partnership.']","['Bacon, Francis']",[1625]
A71305,1.45048,-0.2911684,-0.54196924,"['Purchas his pilgrimes. part 3 In fiue bookes. The first, contayning the voyages and peregrinations made by ancient kings, patriarkes, apostles, philosophers, and others, to and thorow the remoter parts of the knowne world: enquiries also of languages and religions, especially of the moderne diuersified professions of Christianitie. The second, a description of all the circum-nauigations of the globe. The third, nauigations and voyages of English-men, alongst the coasts of Africa ... The fourth, English voyages beyond the East Indies, to the ilands of Iapan, China, Cauchinchina, the Philippinæ with others ... The fifth, nauigations, voyages, traffiques, discoueries, of the English nation in the easterne parts of the world ... The first part.']","['Purchas, Samuel']","[1625, 1590, 1611, 1617, 1619, 1612, 1583, 1527, 1596, 1596]"
A68132,1.1073223,-0.5870825,-0.28687808,"['The discouery of a new world or A description of the South Indies Hetherto vnknowne by an English Mercury.', 'Mundus alter et idem. English']","['Hall, Joseph', 'Gentili, Alberico', 'Healey, John']",[1613]
A05320,0.0,0.0,0.0,"['Characterismi: or, Lentons leasures Expressed in essayes and characters, neuer before written on. By F.L. Gent.']","['Lenton, Francis']",[1631]
A08764,1.5560772,-0.13457894,-0.4109472,"['Orders and constitutions, partly collected out of his Maiesties letters patents; and partly by authority, and in vertue of the said letters patents: ordained vpon mature deliberation, by the gouernour and company of the city of London, for the plantation of the Summer-Islands: for the better gouerning of the actions and affaires of the said company and plantation. 6. Febr. 1621']",['Bermuda Islands.'],"[1622, 1621]"
A01581,0.0,0.0,0.0,"['Nevv shreds of the old snare Containing the apparitions of two new female ghosts. The copies of diuers letters of late intercourse concerning Romish affaires. Speciall indulgences purchased at Rome, granted to diuers English gentle-beleeuing Catholiques for their ready money. A catalogue of English nunnes of the late transportations within these two or three yeares. By Iohn Gee, Master of Arts, late of Exon-Colledge in Oxford.']","['Gee, John']","[1624, 1623, 1623, 1623, 1623, 1623, 1623]"
A68251,0.0,0.0,0.0,"['An excellent new ballad, shewing the petigree of our royall King Iames the first of that name in England. To the tune of, Gallants all come mourne with mee.']",[],[1603]
A22364,0.2996455,-0.06307747,-0.5617731,"['By the King a proclamation for setling the plantation of Virginia.', 'Early English books online text creation partnership.  Navigations series.']","['England and Wales. Sovereign (1625-1649 : Charles I)', 'Charles I, King of England']",[1625]
A04389,0.0,0.0,0.0,"['The haughty heart humbled: or, The penitents practice: in the regall patterne of King Ezekiah Directory and consolatory to all the mourners in Sion, to sow in teares, and to reape in ioy. By S.I. preacher of Gods Word.']","['Jerome, Stephen']",[1628]
A11223,1.487263,-0.9526861,-0.75797284,"['Britaines busse. Or A computation aswell of the charge of a busse or herring-fishing ship As also of the gaine and profit thereby. With the States proclamation annexed vnto the same, as concerning herring-fishing. By E.S.']","['E. S. (Edward Sharpe), 17th cent.', 'United Provinces of the Netherlands. Staten Generaal.']",[1615]
A13434,0.8725314,-0.044399932,-0.9046174,"[""A common vvhore vvith all these graces grac'd: shee's very honest, beautifull and chaste. Written by Iohn Taylor.""]","['Taylor, John']",[1622]
A08014,1.499988,-0.09862228,-0.82624525,"['The terrors of the night or, A discourse of apparitions. Tho: Nashe']","['Nash, Thomas']",[1594]
A00448,1.4480083,0.528216,-1.1955962,"['Verba dierum, or, The dayes report of Gods glory As it hath beene delivered some yeeres since, at foure sermons, or lectures vpon one text, in the famous University of Oxford; and since that time somewhat augmented; and is now commended vnto all times to be augmented and amended. By Edward Evans, priest and minister of the Lord our God.']","['Evans, Edward']",[1615]
A03800,1.507117,0.115235545,-0.7818356,"['A letter, sent into England from the Summer Ilands. VVritten by Mr. Lewes Hughes, preacher of Gods Word there. 1615']","['Hughes, Lewes']","[1615, 1614]"
